Pays,Superficie en km2,Monnaie
Albanie,28748,Lek
Allemagne,357121,Euro
Andorre,468,Euro
Armenie,29743, Dram
Autriche,83879,Euro
Azerbaidjan,86600,Manat
Belgique,30528,Euro
Bielorussie,207600,Rouble
Bosnie-Herzegovine,51129, Mark
Bulgarie,110990,Euro
Chypre,9251,Euro
Croatie,87661,Kuna
Danemark,42895,Couronne danoise
Espagne,505991,Euro
Estonie,45227,Euro
Finlande,338452,Euro
France,632834,Euro
Georgie,69700,Lari
Grece,131957,Euro
Hongrie,93024,Forint
Irlande,69797,Euro
Islande,103000, Couronne islandaise
Italie,301336,Euro
Kosovo,10877,Euro
Lettonie,64562,Euro
Liechtenstein,160,Franc suisse
Lituanie,65300,Euro
Luxembourg,2586,Euro
Macedonie du nord,25713,Denar macedonien
Malte,316,Euro
Moldavie,34843,Leu moldave
Monaco,2.02,Euro
Montenegro,14026,Euro
Norvege,323802,Couronne norvegienne
Pays-Bas,41540,Euro
Pologne,312679,Zloty
Portugal,92212,Euro
Republique Tcheque,78866,Couronne tcheque
Roumanie,238391,Leu roumain
Royaume-Unis ,248528,Livre sterling
Russie,17095000,Rouble russe
Saint-Marin,61.2,Euro
Serbie,77484,Dinar serbe
Slovaquie,49036,Euro
Slovenie,20273,Euro
Suede,438576,Couronne suedoise
Suisse,41290,Franc suisse
Turquie,783562, Livre turque
Ukraine,603700,Hryvnia
Vatican,0.44,Vatu
